id,survey_number,district,taluk,village,area_acres,land_type,land_use,current_owner_id,latitude,longitude,market_value,status,encumbrance,created_at
ca7d2a6f-c3ed-4b8c-91e9-8690d3c742f5,BLR-001/B-CA7D,Bengaluru Urban,Bengaluru East,Koramangala,0.23,Residential,Apartment,9861f3e6-41e2-4823-8edd-53508d2dc7e7,13.05673,77.658212,15507000.0,clear,None,2026-08-18T11:48:58.756198
6aa57c9d-a504-4e82-ba76-61916ceebe61,BLR-002/Q-6AA5,Bengaluru Urban,Bengaluru East,Hebbal,0.33,Residential,Apartment,9861f3e6-41e2-4823-8edd-53508d2dc7e7,12.867023,77.510712,23235000.0,clear,None,2026-08-18T11:48:58.756320
926e2955-8fa0-45fa-8db3-9135634fea6e,BLR-003/2-926E,Bengaluru Urban,Bengaluru East,Bannerghatta,0.28,Residential,Housing,b0a52fe3-03aa-46ae-8ba9-b06b9dde8149,12.848537,77.415768,15678000.0,clear,None,2026-08-18T11:48:58.756395
1804db81-a8e7-4c23-a322-813c756ee5c2,BLR-004/Q-1804,Bengaluru Urban,Bengaluru South,Indiranagar,0.11,Residential,Apartment,c1db0589-ab02-4dc4-8803-bb225d257db6,12.799172,77.614012,5171000.0,disputed,Court Order,2026-08-18T11:48:58.756472
8d446998-4e5c-4534-96e5-3eb9c176917f,BLR-005/1-8D44,Bengaluru Urban,Anekal,Jayanagar,0.16,Residential,Duplex,9861f3e6-41e2-4823-8edd-53508d2dc7e7,12.857656,77.581146,10597000.0,mortgaged,Bank Mortgage,2026-08-18T11:48:58.756524
5123b1fd-76de-4aa4-b6f7-39e2b665fdf6,BLR-006/B-5123,Bengaluru Urban,Bengaluru South,Hebbal,0.15,Residential,Duplex,9861f3e6-41e2-4823-8edd-53508d2dc7e7,13.112103,77.503238,7113000.0,clear,None,2026-08-18T11:48:58.756579
0906b8f5-8af5-4adf-9490-3339b4047056,BLR-007/C-0906,Bengaluru Urban,Bengaluru North,JP Nagar,0.61,Residential,Housing,f90ab632-5c21-4adb-9e75-7a8af6a9068b,12.847561,77.516032,13189000.0,clear,None,2026-08-18T11:48:58.756633
377768cc-6842-41ed-a0a0-add3c5f3d26f,BLR-008/3-3777,Bengaluru Urban,Bengaluru South,Jayanagar,0.32,Residential,Housing,34994167-b83b-429a-93b6-8bd2ac19c9d8,12.993158,77.729497,23331000.0,clear,None,2026-08-18T11:48:58.756679
881ca4a8-0472-4d8e-bcd5-dbb15fdf1453,BLR-009/3-881C,Bengaluru Urban,Bengaluru North,Koramangala,0.19,Residential,Villa,d0609965-6800-4b21-bc00-0cd9fc850bf3,13.138112,77.510168,4480000.0,disputed,Court Order,2026-08-18T11:48:58.756730
fdeaae34-f089-4497-95b7-c93b96244703,BLR-010/P-FDEA,Bengaluru Urban,Anekal,Bannerghatta,0.54,Residential,Row House,5785d85b-36b1-434c-a776-8dbb362622b2,12.958996,77.573778,11787000.0,mortgaged,Bank Mortgage,2026-08-18T11:48:58.756783
ffebcb20-9a6a-42a1-a658-7096e5654b59,BLR-011/P-FFEB,Bengaluru Urban,Anekal,Rajajinagar,0.72,Residential,Duplex,65cf51ec-6a84-4797-b53f-9c4736c52f69,13.059316,77.585483,17917000.0,clear,None,2026-08-18T11:48:58.756843
